scenario,mean_CE_pct,std_CE_pct,capacity_retention_pct,total_SEI_loss_mol,n_cycles_completed
Ultra-pure (baseline),99.99718821654162,0.0052053645185325915,98.43061586266492,0.0,100
Mg (50 ppm),99.99664704752394,0.004745012725027083,98.46443285089663,0.0,100
Mg (200 ppm),99.99811089748451,0.004760393094288426,98.50235714846521,0.0,100
Mg (1000 ppm),99.99898505276867,0.004954903624440967,98.53408267176894,0.0,100
Water (50 ppm),99.99621774864511,0.006094346865394599,98.41732373860219,0.0,100
Water (200 ppm),99.99764411077068,0.004766254402638752,98.3914872995665,0.0,100
Water (1000 ppm),99.99753109710281,0.0067382876420704705,98.23094410187394,0.0,100
Fe (50 ppm),99.99664519740901,0.00551144976599577,98.38470871959801,0.0,100
Fe (200 ppm),99.99840500422877,0.00687174757127192,98.30544263240041,0.0,100
Fe (1000 ppm),99.99742343502939,0.007173046090124844,98.10007161008102,0.0,100
O₂ species (50 ppm),99.99707886509265,0.006151562311184137,98.45121863676209,0.0,100
O₂ species (200 ppm),99.99707373968472,0.0047491334254928476,98.4800939383427,0.0,100
O₂ species (1000 ppm),99.99811086002596,0.005633662493243447,98.38716878284326,0.0,100
